longitude;latitude;timestamp;sog;tws
9.15772;41.38861;2026-05-07T10:22:00Z;2.98103;11.90983
9.15029;41.37831;2026-05-07T10:41:11Z;3.32187;13.52583
9.16169;41.36673;2026-05-07T10:59:20Z;5.42568;12.65300
9.17284;41.35179;2026-05-07T11:10:27Z;6.71320;14.91041
9.18328;41.33713;2026-05-07T11:19:26Z;6.61489;14.06103
9.19452;41.32288;2026-05-07T11:28:30Z;6.64033;13.86133
9.20537;41.30838;2026-05-07T11:37:34Z;6.43696;13.04804
9.21759;41.29441;2026-05-07T11:46:55Z;5.94646;11.48649
9.23336;41.28377;2026-05-07T11:57:03Z;5.55501;10.53529
9.23876;41.27310;2026-05-07T12:07:53Z;4.14809;11.10417
9.22075;41.26433;2026-05-07T12:22:17Z;4.56645;11.79835
9.20287;41.25587;2026-05-07T12:35:25Z;3.67654;12.42829
9.19687;41.24404;2026-05-07T12:51:38Z;4.40800;11.17146
9.19582;41.23723;2026-05-07T13:05:12Z;0.86854;10.01768
